CustomerID,Recency,Frequency,Monetary,Cluster,SegmentLabel
12346,326,12,77556.46,2,High-value loyal customers
12347,2,8,4921.53,2,High-value loyal customers
12348,75,5,2019.3999999999999,3,Lapsed higher-spend customers
12349,19,4,4428.6900000000005,1,Recent moderate customers
12350,310,1,334.40000000000003,0,Inactive low-value customers
12351,375,1,300.93,0,Inactive low-value customers
12352,36,10,2849.84,2,High-value loyal customers
12353,204,2,406.76,0,Inactive low-value customers
12354,232,1,1079.4,0,Inactive low-value customers
12355,214,2,947.61,3,Lapsed higher-spend customers
12356,23,6,6371.7300000000005,2,High-value loyal customers
12357,33,3,18287.66,2,High-value loyal customers
12358,2,5,3887.07,2,High-value loyal customers
12359,58,10,8873.39,2,High-value loyal customers
12360,52,8,4252.89,2,High-value loyal customers
12361,287,4,511.25,3,Lapsed higher-spend customers
12362,3,11,5356.2300000000005,2,High-value loyal customers
12363,110,2,552.0,0,Inactive low-value customers
12364,8,4,1313.1,1,Recent moderate customers
12365,291,2,641.38,0,Inactive low-value customers
12366,634,1,500.24,0,Inactive low-value customers
12367,4,1,168.9,1,Recent moderate customers
12368,628,1,917.7,0,Inactive low-value customers
12369,413,3,1791.15,3,Lapsed higher-spend customers
12370,51,7,4316.56,2,High-value loyal customers
12371,45,5,4067.38,3,Lapsed higher-spend customers
12372,72,3,1298.04,3,Lapsed higher-spend customers
12373,311,3,1127.65,3,Lapsed higher-spend customers
12374,25,4,2989.2200000000003,1,Recent moderate customers
12375,11,2,457.5,1,Recent moderate customers
12376,390,2,503.15,0,Inactive low-value customers
12377,315,4,3426.32,3,Lapsed higher-spend customers
12378,130,2,5416.32,3,Lapsed higher-spend customers
12379,82,4,1620.22,3,Lapsed higher-spend customers
12380,22,11,9676.300000000001,2,High-value loyal customers
12381,5,5,1845.31,1,Recent moderate customers
12383,185,5,1850.56,3,Lapsed higher-spend customers
12384,29,2,585.27,1,Recent moderate customers
12385,379,1,1938.4,3,Lapsed higher-spend customers
12386,338,2,401.9,0,Inactive low-value customers
12387,415,1,143.94,0,Inactive low-value customers
12388,16,8,3901.11,2,High-value loyal customers
12389,403,3,1433.33,3,Lapsed higher-spend customers
12390,80,1,549.84,0,Inactive low-value customers
12391,22,6,2724.84,2,High-value loyal customers
12392,591,1,234.75000000000003,0,Inactive low-value customers
12393,72,6,2399.45,3,Lapsed higher-spend customers
12394,64,2,1272.48,1,Recent moderate customers
12395,19,15,4721.17,2,High-value loyal customers
12396,674,1,931.4300000000001,0,Inactive low-value customers
12397,36,2,2409.9,1,Recent moderate customers
12398,46,1,1635.6599999999999,1,Recent moderate customers
12399,119,7,1962.3,3,Lapsed higher-spend customers
12400,414,1,205.25,0,Inactive low-value customers
12401,303,1,84.3,0,Inactive low-value customers
12402,323,6,1256.9,3,Lapsed higher-spend customers
12403,50,2,1019.36,1,Recent moderate customers
12404,682,1,63.24,0,Inactive low-value customers
12405,149,1,1710.39,3,Lapsed higher-spend customers
12406,22,5,6390.36,2,High-value loyal customers
12407,50,5,1708.12,3,Lapsed higher-spend customers
12408,33,8,4340.77,2,High-value loyal customers
12409,79,7,23419.29,2,High-value loyal customers
12410,309,3,1013.71,3,Lapsed higher-spend customers
12411,410,1,346.9,0,Inactive low-value customers
12412,75,6,2596.93,3,Lapsed higher-spend customers
12413,67,4,999.45,3,Lapsed higher-spend customers
12414,217,6,952.4100000000001,3,Lapsed higher-spend customers
12415,24,28,144458.37,2,High-value loyal customers
12416,657,1,202.56,0,Inactive low-value customers
12417,3,20,6797.41,2,High-value loyal customers
12418,113,4,2021.2,3,Lapsed higher-spend customers
12419,386,2,503.01,0,Inactive low-value customers
12420,64,1,600.39,1,Recent moderate customers
12421,16,6,1098.6,1,Recent moderate customers
