StockCode,Description,Quantity,TotalPrice
22423,REGENCY CAKESTAND 3 TIER,24124,277656.25
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,247048.01
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6
M,Manual,9384,151777.67
85099B,JUMBO BAG RED RETROSPOT,74224,134307.44
POST,POSTAGE,5235,124648.04
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,124351.86
47566,PARTY BUNTING,23460,103283.38
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,28380,76598.18000000001
